lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.6.1,filtered_state.7.1,filtered_state.8.1,filtered_state.9.1,filtered_state.10.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,filtered_state.6.2,filtered_state.7.2,filtered_state.8.2,filtered_state.9.2,filtered_state.10.2,log_marginal
# Adaptation terminated
# Step size = 0.887452
# Diagonal elements of inverse mass matrix:
# 0.108906, 0.12301
-27.100876,0.90096569,0.88745175,1,3,0,28.139163,0.7227474,0.2135271,0.2772526,0.7864729,0.260643,0.19303839,0.17595255,0.171759,0.66407644,0.31462526,0.20727461,0.67745063,0.81834099,0.37242617,0.739357,0.80696161,0.82404745,0.828241,0.33592356,0.68537474,0.79272539,0.32254937,0.18165901,0.62757383,-6.7230298
-26.642621,1,0.88745175,2,3,0,27.142846,0.72447401,0.13023965,0.27552599,0.86976035,0.24057389,0.17211148,0.15620867,0.15262788,0.75864497,0.32527344,0.19295216,0.77110097,0.89630537,0.37922937,0.75942611,0.82788852,0.84379133,0.84737212,0.24135503,0.67472656,0.80704784,0.22889903,0.10369463,0.62077063,-6.5743772
-29.431658,0.80352548,0.88745175,3,7,0,29.677368,0.6737396,0.33274452,0.3262604,0.66725548,0.32838972,0.27055699,0.25222242,0.24652367,0.5730256,0.35468626,0.27907891,0.5861917,0.69922174,0.40275919,0.67161028,0.72944301,0.74777758,0.75347633,0.4269744,0.64531374,0.72092109,0.4138083,0.30077826,0.59724081,-6.9318752
-26.975464,0.80191118,0.88745175,2,3,0,30.987768,0.80802181,0.19845119,0.19197819,0.80154881,0.19322896,0.12672577,0.1145413,0.11238141,0.68194944,0.24306243,0.13631905,0.69101093,0.84710536,0.29758555,0.80677104,0.87327423,0.8854587,0.88761859,0.31805056,0.75693757,0.86368095,0.30898907,0.15289464,0.70241445,-6.9507005
-27.737393,0.89743148,0.88745175,2,3,0,28.252592,0.87412615,0.19306916,0.12587385,0.80693084,0.13494127,0.078742029,0.071798803,0.070966299,0.68883631,0.17458289,0.083869994,0.69381054,0.86090111,0.22035184,0.86505873,0.92125797,0.9282012,0.9290337,0.31116369,0.82541711,0.91613001,0.30618946,0.13909889,0.77964816,-7.1580824
-26.957425,0.89929812,0.88745175,3,7,0,29.304532,0.82641685,0.09904852,0.17358315,0.90095148,0.16154263,0.099555353,0.090225756,0.088865956,0.80818887,0.24171134,0.11243629,0.81461576,0.93313833,0.28417428,0.83845737,0.90044465,0.90977424,0.91113404,0.19181113,0.75828866,0.88756371,0.18538424,0.066861668,0.71582572,-6.8125207
-27.036922,0.97984469,0.88745175,2,7,0,27.538845,0.72174094,0.084992348,0.27825906,0.91500765,0.233191,0.16466214,0.14926493,0.14591326,0.82587051,0.34148827,0.19071494,0.83668441,0.93651878,0.38668199,0.766809,0.83533786,0.85073507,0.85408674,0.17412949,0.65851173,0.80928506,0.16331559,0.063481224,0.61331801,-6.52583
-26.982344,0.99643493,0.88745175,2,3,0,27.20991,0.69395369,0.10284645,0.30604631,0.89715355,0.25436033,0.18638183,0.16963377,0.16562911,0.79589567,0.35596862,0.2129945,0.80870609,0.91785278,0.40607681,0.74563967,0.81361817,0.83036623,0.83437089,0.20410433,0.64403138,0.7870055,0.19129391,0.082147219,0.59392319,-6.4752214
-27.093915,0.98433472,0.88745175,3,7,0,27.235631,0.84372846,0.1743073,0.15627154,0.8256927,0.15914178,0.097602204,0.088491145,0.087184683,0.7090528,0.20966082,0.10547626,0.71574722,0.87277236,0.2593206,0.84085822,0.9023978,0.91150885,0.91281532,0.2909472,0.79033918,0.89452374,0.28425278,0.12722764,0.7406794,-7.0051498
-26.876937,1,0.88745175,1,1,0,27.068604,0.83039298,0.16197192,0.16960702,0.83802808,0.16832186,0.10515066,0.095203451,0.093687152,0.7231035,0.22500442,0.11457153,0.73047818,0.88158306,0.27549216,0.83167814,0.89484934,0.90479655,0.90631285,0.2768965,0.77499558,0.88542847,0.26952182,0.11841694,0.72450784,-6.9331605
